sentiment	Text
2	she had another song out recently but it didn't get that much play
2	wellity! i think ima gonna clean my room :| Gay. i need to read a good book. sense and sensibility here we come! BEAT THE LILY
2	Bug in damn cod4 system link. My map pack isnt working
8	weeooow, i feel fat.... i remember when i used to weigh that much  pfffffffffffffffffffffftttttttt long time ago, hahaha
7	mmmm now you're speaking my language! (Unfortunately, in militant diet mode-am seriously thinking of  competiton-so no TB I guess
7	Really?? I feel special
2	don't you procrastinate!   (like I do...)
1	Ive been wanting 2 but will be gone 4 2 mo. &amp; have to close my shops!
2	Sushi two nights in a row isn't THAT wrong is it?
2	haha i get my senior license next friday!!!!
7	UMMMNNN ummmnnn good thanks for letting me know earlier... I ate already
3	Nobody is up this early
2	Can't stop coughing, feel like I might have bronchitis again, no fun
3	I also have to make space on my computer for the game. I don't meet the minimum requirements for Sims 3 at the moment
3	arg..tried one pic, but she moved so i failed to save it...then they never showed her feet again  but they were purty!
2	Migraining today--the naproxen sodium tablets I took are helping a little but my neck is now killing me.  Need my muscle relaxants
3	Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall
1	Looks like my Twitter is down
10	Oh yeah the camera clipping problems with Void are now completely fixed  yay me for fiddling about
9	Being in Vegas with @donniewahlberg would be so much better then home!! This has been the day from hell!!
4	heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and its kinda less than awesome.. anyways.. PEACE
3	is coming back to Ruston tomorrow
2	I caaaaan't sleep.....it's 3.30am! wahhhh... i wanna cry
2	Just found out I have to leave my lovely flat!! And been waiting 2.5 hours for a plumber. Still no job news.  Not a good day
7	ACK! Ghost Whisperer isn't on!   Damn network's lucky they gave me Walk The Line in place of it...f*ckas. JP is hawt.  :0)
4	haha, happened to me a lot of times. Know the feeling. Happy mums day to ur mom too delle
2	its not fruit, its those sugar covered sweets. My tummy is not happy
2	Poor Jon, I feel for you dude   Eat some chocolate, that'll make you feel better, oh &amp; some ice cream - YUM!!!
2	Hearing a surprising news about my bestfriend...where are you sis ? You have to tell me the whole story
3	Created a new album on my Facebook for my Phantom cross stitch  I want to track my own progress so I feel like I am getting something done
3	in 7-11  w/o you
1	Work, work, work and why did I get so tired all of a sudden. @PaulAros , nicole told me you say 'Hi' aww she was so enthusiastic  hi paul
4	Love it! You look fabulous and it was so nice to learn something new about you
3	I do the same thing to my parents and my best friend too
2	Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA
2	Aw I left it at home  I do have some Travis or Coldplay though?  xx
4	I'm still waiting for them to recontinue their &quot;breathless&quot; scent..  lol
10	I'm currently enjoying NOT being at work this bank holiday  Frasier and Jeremy Kyle so far. Enjoy the extra day off Tweeters!
4	Made so many new friends on Twitter around USA. Another bike across USA trip would be amazing to see people!
3	thinking of you   why we canï¿½t control our thoughts?
10	Thanks for remembering
8	Just back from bingo w/family -- I won over $1100! Fun night
3	No, it's not...
4	- she is so cute really i really want to meet her  wish one day
1	i know!!!!!!!!! yopu only just got round to watching it?  i cried!!!!!
10	Happy Star Wars Day
7	Cant believe there had been nice weather all day and I was stuck in doors all day
8	Enjoying my Mommy Day!!!!
3	been there, done that
5	I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
10	oh the memories  ? 
1	- l'd come if u could, but Australia is just too far away
10	You rule for doing this! I bought the second game at full price and lost it in a move.
7	is now following Chester Bennington, awesome!
3	This month was a bad month to try and get an advert together for Kobold Quarterly
1	drinking some really nice coffee, got to go to the dentist at 9am this morning
2	I'm having no luck either  Doing my nut in! Who are you hoping to see?
3	Just noticed the new sidebar on twitter.com, looks nice
6	My lesson is finally done for tomorrow morning. I am looking forward to speaking to the high schoolers on dating.
2	So sorry about all that  praying for you
2	i agree with the whole Hollie thing
10	Good morning everyone
2	Awww that poor little girl on BGT
3	to spend the weekend...to not spend the weekend.....that is hte question that is on my mind...
4	it's sooo warm
1	I have to work tonight  But I get my paycheck!
2	Thank you for the rec but that doesn't work
1	damn...plans were canceled.....another friday night at home
11	at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes
3	that's why you are #twitterbff
